season,week_num,week_idx,rule_type,couple_id,couple_label,pF_share,fan_rank,eliminated_this_week
3,1,1,percent,0,couple_0,0.10410834848880768,3.0,0
3,1,1,percent,1,couple_1,0.08632150292396545,9.0,0
3,1,1,percent,2,couple_2,0.09901296347379684,5.0,0
3,1,1,percent,3,couple_3,0.1007109209895134,4.0,0
3,1,1,percent,4,couple_4,0.08687830716371536,7.0,0
3,1,1,percent,5,couple_5,0.08955709636211395,6.0,0
3,1,1,percent,6,couple_6,0.08680014312267303,8.0,0
3,1,1,percent,7,couple_7,0.0821985974907875,10.0,0
3,1,1,percent,8,couple_8,0.1290266513824463,1.0,0
3,1,1,percent,9,couple_9,0.11446811258792877,2.0,0
3,1,1,percent,10,couple_10,0.020917337387800217,11.0,1
3,2,2,percent,0,couple_0,0.10840503126382828,4.0,0
3,2,2,percent,1,couple_1,0.09581136703491211,7.0,0
3,2,2,percent,2,couple_2,0.09450624138116837,8.0,0
3,2,2,percent,3,couple_3,0.09220290184020996,9.0,0
3,2,2,percent,4,couple_4,0.11152153462171555,3.0,0
3,2,2,percent,5,couple_5,0.10047072917222977,6.0,0
3,2,2,percent,6,couple_6,0.020234329625964165,10.0,1
3,2,2,percent,7,couple_7,0.10665054619312286,5.0,0
3,2,2,percent,8,couple_8,0.13400815427303314,2.0,0
3,2,2,percent,9,couple_9,0.13618917763233185,1.0,0
3,3,3,percent,0,couple_0,0.02502804435789585,9.0,1
3,3,3,percent,1,couple_1,0.07770989835262299,8.0,0
3,3,3,percent,2,couple_2,0.0968475267291069,7.0,0
3,3,3,percent,3,couple_3,0.1285007894039154,5.0,0
3,3,3,percent,4,couple_4,0.14135229587554932,2.0,0
3,3,3,percent,5,couple_5,0.14513170719146729,1.0,0
3,3,3,percent,7,couple_7,0.11674375832080841,6.0,0
3,3,3,percent,8,couple_8,0.1333935409784317,4.0,0
3,3,3,percent,9,couple_9,0.1352924108505249,3.0,0
3,4,4,percent,1,couple_1,0.024176286533474922,8.0,1
3,4,4,percent,2,couple_2,0.13089919090270996,5.0,0
3,4,4,percent,3,couple_3,0.1367732286453247,4.0,0
3,4,4,percent,4,couple_4,0.12041063606739044,6.0,0
3,4,4,percent,5,couple_5,0.1427992731332779,3.0,0
3,4,4,percent,7,couple_7,0.11451351642608643,7.0,0
3,4,4,percent,8,couple_8,0.17178454995155334,1.0,0
3,4,4,percent,9,couple_9,0.15864336490631104,2.0,0
3,5,5,percent,2,couple_2,0.1467888355255127,5.0,0
3,5,5,percent,3,couple_3,0.16414597630500793,3.0,0
3,5,5,percent,4,couple_4,0.14097027480602264,6.0,0
3,5,5,percent,5,couple_5,0.1528731733560562,4.0,0
3,5,5,percent,7,couple_7,0.0281008780002594,7.0,1
3,5,5,percent,8,couple_8,0.18940861523151398,1.0,0
3,5,5,percent,9,couple_9,0.17771226167678833,2.0,0
3,6,6,percent,2,couple_2,0.11922390013933182,6.0,0
3,6,6,percent,3,couple_3,0.18260353803634644,2.0,0
3,6,6,percent,4,couple_4,0.14597828686237335,4.0,0
3,6,6,percent,5,couple_5,0.13843338191509247,5.0,0
3,6,6,percent,8,couple_8,0.2612161636352539,1.0,0
3,6,6,percent,9,couple_9,0.15254469215869904,3.0,0
3,7,7,percent,2,couple_2,0.13177339732646942,5.0,0
3,7,7,percent,3,couple_3,0.1341286301612854,4.0,0
3,7,7,percent,4,couple_4,0.13645127415657043,3.0,0
3,7,7,percent,5,couple_5,0.15324056148529053,2.0,0
3,7,7,percent,8,couple_8,0.40618884563446045,1.0,0
3,7,7,percent,9,couple_9,0.03821725398302078,6.0,1
3,8,8,percent,2,couple_2,0.037226058542728424,5.0,1
3,8,8,percent,3,couple_3,0.1659049242734909,3.0,0
3,8,8,percent,4,couple_4,0.15165191888809204,4.0,0
3,8,8,percent,5,couple_5,0.16643664240837097,2.0,0
3,8,8,percent,8,couple_8,0.47878044843673706,1.0,0
3,9,9,percent,3,couple_3,0.23272547125816345,2.0,0
3,9,9,percent,4,couple_4,0.2049606293439865,4.0,0
3,9,9,percent,5,couple_5,0.21215014159679413,3.0,0
3,9,9,percent,8,couple_8,0.3501637279987335,1.0,0
3,10,10,percent,3,couple_3,0.2219097912311554,2.0,0
3,10,10,percent,4,couple_4,0.19467516243457794,4.0,0
3,10,10,percent,5,couple_5,0.2082930952310562,3.0,0
3,10,10,percent,8,couple_8,0.37512192130088806,1.0,0
