season,week_num,week_idx,rule_type,couple_id,couple_label,pF_share,fan_rank,eliminated_this_week
30,1,1,rank,0,couple_0,0.04380447044968605,15.0,0
30,1,1,rank,1,couple_1,0.06370360404253006,7.0,0
30,1,1,rank,2,couple_2,0.061071183532476425,10.0,0
30,1,1,rank,3,couple_3,0.07232070714235306,3.0,0
30,1,1,rank,4,couple_4,0.06250537931919098,9.0,0
30,1,1,rank,5,couple_5,0.06337974220514297,8.0,0
30,1,1,rank,6,couple_6,0.09547262638807297,2.0,0
30,1,1,rank,7,couple_7,0.10716621577739716,1.0,0
30,1,1,rank,8,couple_8,0.054536834359169006,14.0,0
30,1,1,rank,9,couple_9,0.06974222511053085,4.0,0
30,1,1,rank,10,couple_10,0.05791863799095154,12.0,0
30,1,1,rank,11,couple_11,0.059078071266412735,11.0,0
30,1,1,rank,12,couple_12,0.05624017491936684,13.0,0
30,1,1,rank,13,couple_13,0.06683588027954102,5.0,0
30,1,1,rank,14,couple_14,0.06622415781021118,6.0,0
30,2,2,rank,0,couple_0,0.014260650612413883,15.0,1
30,2,2,rank,1,couple_1,0.0950651466846466,4.0,0
30,2,2,rank,2,couple_2,0.05043390020728111,11.0,0
30,2,2,rank,3,couple_3,0.11622735112905502,2.0,0
30,2,2,rank,4,couple_4,0.05933327600359917,6.0,0
30,2,2,rank,5,couple_5,0.05605281889438629,8.0,0
30,2,2,rank,6,couple_6,0.1151311993598938,3.0,0
30,2,2,rank,7,couple_7,0.11901097744703293,1.0,0
30,2,2,rank,8,couple_8,0.04336651787161827,14.0,0
30,2,2,rank,9,couple_9,0.05473240464925766,9.0,0
30,2,2,rank,10,couple_10,0.051274314522743225,10.0,0
30,2,2,rank,11,couple_11,0.04503781720995903,13.0,0
30,2,2,rank,12,couple_12,0.056581709533929825,7.0,0
30,2,2,rank,13,couple_13,0.0779070258140564,5.0,0
30,2,2,rank,14,couple_14,0.045584868639707565,12.0,0
30,3,3,rank,1,couple_1,0.10041278600692749,3.0,0
30,3,3,rank,2,couple_2,0.046459048986434937,9.0,0
30,3,3,rank,3,couple_3,0.08997815102338791,5.0,0
30,3,3,rank,4,couple_4,0.0646510124206543,8.0,0
30,3,3,rank,5,couple_5,0.0686255693435669,7.0,0
30,3,3,rank,6,couple_6,0.1309727430343628,2.0,0
30,3,3,rank,7,couple_7,0.16126540303230286,1.0,0
30,3,3,rank,8,couple_8,0.044581878930330276,10.0,0
30,3,3,rank,9,couple_9,0.09340277314186096,4.0,0
30,3,3,rank,10,couple_10,0.0390307754278183,12.0,0
30,3,3,rank,11,couple_11,0.03885658457875252,13.0,0
30,3,3,rank,12,couple_12,0.009717622771859169,14.0,1
30,3,3,rank,13,couple_13,0.06966477632522583,6.0,0
30,3,3,rank,14,couple_14,0.04238089919090271,11.0,0
30,4,4,rank,1,couple_1,0.013672457076609135,13.0,1
30,4,4,rank,2,couple_2,0.04332486167550087,9.0,0
30,4,4,rank,3,couple_3,0.027673976495862007,12.0,1
30,4,4,rank,4,couple_4,0.08410046249628067,4.0,0
30,4,4,rank,5,couple_5,0.06018863245844841,6.0,0
30,4,4,rank,6,couple_6,0.14970025420188904,2.0,0
30,4,4,rank,7,couple_7,0.22574540972709656,1.0,0
30,4,4,rank,8,couple_8,0.04654623568058014,8.0,0
30,4,4,rank,9,couple_9,0.0833347886800766,5.0,0
30,4,4,rank,10,couple_10,0.042217157781124115,10.0,0
30,4,4,rank,11,couple_11,0.040478937327861786,11.0,0
30,4,4,rank,13,couple_13,0.1292455941438675,3.0,0
30,4,4,rank,14,couple_14,0.05377127230167389,7.0,0
30,5,5,rank,2,couple_2,0.07533343881368637,7.0,0
30,5,5,rank,4,couple_4,0.11906096339225769,3.0,0
30,5,5,rank,5,couple_5,0.08339187502861023,5.0,0
30,5,5,rank,6,couple_6,0.1879511922597885,1.0,0
30,5,5,rank,7,couple_7,0.1577204316854477,2.0,0
30,5,5,rank,8,couple_8,0.011898602358996868,11.0,1
30,5,5,rank,9,couple_9,0.11409258842468262,4.0,0
30,5,5,rank,10,couple_10,0.06631685048341751,8.0,0
30,5,5,rank,11,couple_11,0.046802811324596405,10.0,0
30,5,5,rank,13,couple_13,0.0768231451511383,6.0,0
30,5,5,rank,14,couple_14,0.060608115047216415,9.0,0
30,6,6,rank,2,couple_2,0.11962764710187912,4.0,0
30,6,6,rank,4,couple_4,0.11976464092731476,3.0,0
30,6,6,rank,5,couple_5,0.11094749718904495,5.0,0
30,6,6,rank,6,couple_6,0.12372565269470215,2.0,0
30,6,6,rank,7,couple_7,0.16803695261478424,1.0,0
30,6,6,rank,9,couple_9,0.09203029423952103,7.0,0
30,6,6,rank,10,couple_10,0.09533264487981796,6.0,0
30,6,6,rank,11,couple_11,0.06216749548912048,9.0,0
30,6,6,rank,13,couple_13,0.019240589812397957,10.0,1
30,6,6,rank,14,couple_14,0.08912660926580429,8.0,0
30,7,7,rank,2,couple_2,0.08701424300670624,5.0,0
30,7,7,rank,4,couple_4,0.024749165400862694,9.0,1
30,7,7,rank,5,couple_5,0.14994923770427704,3.0,0
30,7,7,rank,6,couple_6,0.1979309767484665,1.0,0
30,7,7,rank,7,couple_7,0.1891750991344452,2.0,0
30,7,7,rank,9,couple_9,0.08045504242181778,6.0,0
