match_id,set_no,game_no,point_no,M_mean
2023-wimbledon-1304,1,1,2,0.009143242082976642
2023-wimbledon-1304,1,1,3,-0.008721727811933467
2023-wimbledon-1304,1,1,4,-0.0209754446429276
2023-wimbledon-1304,1,2,5,0.042984461278460534
2023-wimbledon-1304,1,2,6,-0.011824423116284883
2023-wimbledon-1304,1,2,7,0.013812790656243948
2023-wimbledon-1304,1,2,8,-0.041028877831586236
2023-wimbledon-1304,1,3,9,-0.02653051023934547
2023-wimbledon-1304,1,3,10,-0.002386503157163895
2023-wimbledon-1304,1,3,11,0.00875067919864144
2023-wimbledon-1304,1,3,12,0.01697156402336498
2023-wimbledon-1304,1,4,13,0.006839650143256705
2023-wimbledon-1304,1,4,14,0.009206707984926158
2023-wimbledon-1304,1,4,15,-0.02556330744065014
2023-wimbledon-1304,1,4,16,0.04153723153765095
2023-wimbledon-1304,1,4,17,-0.00028055118468100365
2023-wimbledon-1304,1,4,18,0.0014675963301190261
2023-wimbledon-1304,1,4,19,-0.016726722619814796
2023-wimbledon-1304,1,4,20,-0.012165990367452686
2023-wimbledon-1304,1,4,21,-0.00689718299347887
2023-wimbledon-1304,1,4,22,0.0384990052238181
2023-wimbledon-1304,1,5,23,0.02436986365899334
2023-wimbledon-1304,1,5,24,-0.02086858343802961
2023-wimbledon-1304,1,5,25,0.004409576821540749
2023-wimbledon-1304,1,5,26,0.032063769689781266
2023-wimbledon-1304,1,6,27,-0.03509925049884631
2023-wimbledon-1304,1,6,28,-0.030830278531595097
2023-wimbledon-1304,1,6,29,0.036057907180299366
2023-wimbledon-1304,1,6,30,0.005632310675005475
2023-wimbledon-1304,1,6,31,0.002647249426868123
2023-wimbledon-1304,1,6,32,-0.009082087870939535
2023-wimbledon-1304,1,6,33,-0.00016910403114250006
2023-wimbledon-1304,1,6,34,0.016043753694307664
2023-wimbledon-1304,1,6,35,0.004886671056594506
2023-wimbledon-1304,1,6,36,-0.03364588694255714
2023-wimbledon-1304,1,7,37,-0.0007030293900082826
2023-wimbledon-1304,1,7,38,0.04259427362209435
2023-wimbledon-1304,1,7,39,-0.012752757894470999
2023-wimbledon-1304,1,7,40,0.018567390607466518
2023-wimbledon-1304,1,7,41,-0.014081831792996826
2023-wimbledon-1304,1,7,42,0.013351108556228303
2023-wimbledon-1304,1,7,43,-0.006837522048846827
2023-wimbledon-1304,1,7,44,-0.049211852749078
2023-wimbledon-1304,1,8,45,-0.06060287388911252
2023-wimbledon-1304,1,8,46,0.0016222798896427186
2023-wimbledon-1304,1,8,47,-0.044495816398837436
2023-wimbledon-1304,1,8,48,-0.010436745393970544
2023-wimbledon-1304,1,8,49,0.005673148123301689
2023-wimbledon-1304,1,8,50,0.0372660284745344
2023-wimbledon-1304,1,8,51,-0.02601024814780553
2023-wimbledon-1304,1,8,52,-0.0146740585170499
2023-wimbledon-1304,1,9,53,0.012661738435552659
2023-wimbledon-1304,1,9,54,0.0021382299253740874
2023-wimbledon-1304,1,9,55,0.006044418320780115
2023-wimbledon-1304,1,9,56,-0.034713645902913016
2023-wimbledon-1304,2,1,57,0.044692386187770494
2023-wimbledon-1304,2,1,58,0.022035961927437175
2023-wimbledon-1304,2,1,59,-0.013181846502613103
2023-wimbledon-1304,2,1,60,0.030147367511777746
2023-wimbledon-1304,2,1,61,-0.015719130625749127
2023-wimbledon-1304,2,1,62,0.0014474770212373465
2023-wimbledon-1304,2,2,63,-0.011265814168024493
2023-wimbledon-1304,2,2,64,-0.0029664758966629046
2023-wimbledon-1304,2,2,65,-0.027098430942693486
2023-wimbledon-1304,2,2,66,-0.01104240770498628
2023-wimbledon-1304,2,3,67,-0.031147048344412374
2023-wimbledon-1304,2,3,68,0.02430624201071778
2023-wimbledon-1304,2,3,69,0.015735908543759683
2023-wimbledon-1304,2,3,70,-0.011251352440128745
2023-wimbledon-1304,2,3,71,0.0127586001325147
2023-wimbledon-1304,2,4,72,0.027432018687401565
2023-wimbledon-1304,2,4,73,-0.0007054283748080699
2023-wimbledon-1304,2,4,74,-0.0016091809263659035
2023-wimbledon-1304,2,4,75,0.003742270773032205
2023-wimbledon-1304,2,4,76,-0.07895718769717443
2023-wimbledon-1304,2,5,77,0.0029554512979995166
2023-wimbledon-1304,2,5,78,0.0042514559367621664
2023-wimbledon-1304,2,5,79,0.05241115002074415
2023-wimbledon-1304,2,5,80,0.008649478567606663
2023-wimbledon-1304,2,5,81,0.01657628296566501
2023-wimbledon-1304,2,6,82,0.054698184513904395
2023-wimbledon-1304,2,6,83,-0.03229554974631783
2023-wimbledon-1304,2,6,84,-0.04358758233820398
2023-wimbledon-1304,2,6,85,0.013128880915568464
2023-wimbledon-1304,2,6,86,0.04176319077295919
2023-wimbledon-1304,2,6,87,0.005334414851801235
2023-wimbledon-1304,2,6,88,0.011659079970193135
2023-wimbledon-1304,2,6,89,0.057398318546940594
2023-wimbledon-1304,2,6,90,-0.010685198575570497
2023-wimbledon-1304,2,6,91,0.005636013171531223
2023-wimbledon-1304,2,6,92,-0.011490894654964945
2023-wimbledon-1304,2,6,93,-0.009685453622750308
2023-wimbledon-1304,2,6,94,-0.01380838558167673
2023-wimbledon-1304,2,6,95,0.04582750023413915
2023-wimbledon-1304,2,6,96,-0.012681913496770949
2023-wimbledon-1304,2,6,97,0.04457251106577213
2023-wimbledon-1304,2,7,98,0.04278766507917905
2023-wimbledon-1304,2,7,99,0.04979556850665059
2023-wimbledon-1304,2,7,100,-0.02290509674406202
2023-wimbledon-1304,2,7,101,-0.01689371547195552
2023-wimbledon-1304,2,7,102,0.014504378651236244
2023-wimbledon-1304,2,7,103,-0.03988775973594965
2023-wimbledon-1304,2,8,104,-0.006133231949438413
